gene_length,folding_energy_80,folding_energy_70,length of 5prime utr,kozak score,N1,N4,in_frame AUG
797,-6.5,-8.2,23,5,4,1,0
102,-8.6,-11.3,61,4,4,3,0
421,-11.2,-8,51,3,1,3,0
566,-4.7,-4.7,16,3,4,1,0
1018,-10.4,-10.9,174,4,2,3,0
692,-7.4,-10,91,4,4,2,0
877,-10.7,-5.6,100,6,4,4,0
746,-8.3,-9.2,60,5,3,3,0
588,-12.1,-9,245,5,3,2,0
224,-5.2,-4.7,80,3,1,4,0
819,-15.3,-5.5,230,8,1,1,0
180,-6.7,-7.3,105,4,2,1,0
335,-7.7,-5.2,57,4,2,1,0
467,-10.1,-9.7,211,5,4,1,0
328,-10.3,-10.3,27,4,2,3,0
506,-13.5,-8.4,55,4,2,1,0
850,-11.4,-9.6,56,8,1,4,0
384,-9.1,-5.3,51,6,1,1,0
676,-9.8,-6.2,82,6,1,1,0
535,-12.7,-11.2,72,7,3,1,0
373,-9.9,-9.9,26,6,4,4,0
561,-10.7,-10.3,142,4,2,3,0
630,-10.8,-10.6,84,5,2,3,0
418,-11.3,-12.1,58,3,2,3,0
669,-12.3,-4.2,44,2,2,2,0
1393,-10.1,-1.8,119,5,2,4,0
450,-6.9,-8.9,235,6,1,1,0
286,-10.3,-10.3,19,7,3,1,0
205,-11.6,-4.6,150,6,1,3,0
374,-5.5,-5.5,36,7,3,1,0
377,-4.7,-4.9,67,5,2,1,0
482,-5.4,-8.3,19,7,1,1,0
529,-8,-6.6,110,3,4,1,0
221,-7.9,-13.5,352,7,2,3,2
786,-18.5,-8.3,197,5,4,3,0
388,-4.1,-4.8,19,3,2,1,0
1128,-9.3,-8.4,37,4,2,4,0
1765,-12.8,-8.2,191,7,2,1,3
307,-13.9,-10.4,138,6,4,1,0
372,-5.8,-4,33,7,3,1,0
196,-15.1,-10,41,5,4,3,0
808,-8.3,-6.6,36,3,1,2,0
224,-9.2,-7.9,29,4,3,1,0
548,-9.8,-4.8,385,3,4,1,0
202,-9.6,-8.5,36,7,3,1,0
380,-1.4,-5.2,21,6,4,1,0
761,-11.8,-5.7,42,4,1,3,0
180,-6.9,-5.6,34,4,3,1,0
1421,-13,-6.6,61,8,4,1,0
1011,-13.9,-4.5,54,6,2,2,0
295,-11.1,-9.9,108,4,3,1,1
829,-15.7,-8.5,347,3,3,2,1
971,-12.1,-12.1,20,4,2,4,0
272,-17.6,-12.8,196,8,1,4,1
427,-15.5,-6.9,39,6,4,1,0
285,-7.4,-6.7,510,5,1,1,4
192,-9.2,-5.9,50,7,2,1,0
468,-6.7,-5.8,37,5,2,4,0
107,-6.3,-3.7,31,4,4,2,0
394,-10.1,-13.9,23,9,1,3,0
202,-8.7,.0.00,118,4,4,1,1
342,-13.2,-7.7,51,6,3,1,0
284,-2.9,-1.3,40,7,2,1,0
141,-12.6,-13.1,22,5,3,3,0
522,-10.9,-7.7,80,5,1,2,0
401,-4.5,-5.2,50,2,2,1,0
675,-15.3,-10.2,151,2,2,2,1
675,-9.6,-9.6,34,3,3,3,0
207,-10.4,-7.7,38,7,2,1,0
162,-7.6,-5.1,36,6,2,1,0
2040,-9.4,-6.1,53,3,1,1,0
490,-11.6,-2.7,107,6,4,1,0
514,-17.6,-3.8,367,6,4,1,0
435,-15.9,-6.6,42,8,1,2,0
817,-17.7,-12.6,49,5,1,1,0
485,-12,-9.5,49,4,1,1,0
304,-5.35,-9.1,58,5,4,2,0
1095,-9.9,-10.4,14,3,3,2,0
424,-11.1,-10.5,40,4,4,1,0
1376,-10.5,-5.2,40,2,2,3,0
252,-4.6,-4.3,80,8,1,1,0
789,-18.7,-6.9,61,4,1,1,0
385,-6.2,-6.3,47,7,4,4,0
434,-8,-11.7,14,5,3,1,0
109,-5.2,-0.8,36,6,2,1,0
741,-9,-10.4,116,7,4,1,0
270,-10.6,-6.4,66,5,1,3,0
947,-12.2,-10.6,50,8,1,1,0
588,-11.9,-8.4,60,6,1,1,0
268,-9.8,-8,37,3,4,1,0
1027,-11.9,-8.9,223,5,2,3,0
576,-17.4,-9.2,56,6,2,1,0
1036,-16.6,-11.3,55,7,1,3,0
706,-15.4,-9.6,146,5,2,1,0
1346,-10.2,-24.7,206,6,1,3,0
492,-8.7,-7.9,37,6,3,1,0
401,-23.5,-11.9,44,5,2,2,0
664,-12.8,-8.4,52,6,3,1,0
240,-6.4,-6.4,17,3,3,2,0
466,-7.8,-8.1,26,7,1,1,0
593,-7,-11.6,305,6,2,1,0
464,-9.6,-13.5,15,3,2,1,0
1656,-11.2,-11.2,39,4,2,3,0
400,-12.4,-10.4,114,3,4,3,0
663,-15,-9.5,53,6,3,1,0
1560,-12.9,-4.1,136,8,1,1,0
650,-14.9,-6.2,64,5,3,1,0
262,-7.6,-7.6,33,6,4,1,0
1563,-10.4,-6.5,71,7,2,2,0
1230,-15.5,-10,102,6,2,1,0
413,-12.5,-12.5,19,3,2,3,0
222,-4.9,-10.9,15,3,2,1,0
333,-7.6,-16.6,186,4,2,1,0
170,-11,-9.6,39,6,4,1,0
153,-9.7,-8.4,59,5,3,1,0
759,-6.8,-3.8,72,6,2,3,0
972,-10.1,-11.2,15,5,3,1,0
916,-9.6,-7.1,189,5,2,1,0
402,-15.9,-8.4,41,4,4,1,0
856,-10,-9.9,66,6,2,1,0
241,-6.5,-6.6,23,8,2,1,0
525,-8.2,-5.7,309,3,2,1,2
377,-8.1,-5.2,58,7,1,3,0
1558,-9.3,-10.5,88,8,2,1,0
355,-5.8,-7.2,13,7,1,1,0
986,-12.6,-10.9,164,5,3,1,0
428,-8.9,-6.7,35,5,2,2,0
287,-12.7,-10.9,50,9,2,1,0
483,-8,-8,33,6,1,3,0
328,-10.2,-2.6,70,6,1,1,0
863,-9.7,-14.4,93,1,4,2,0
1158,-8.9,-5.2,49,5,1,4,0
225,-8.4,-5.8,147,5,2,4,0
433,-8.8,-10.8,17,6,1,1,0
319,-8.9,-15.3,271,6,2,1,0
257,-9.1,-9.1,25,7,3,1,0
675,-7.4,-12.9,142,7,3,3,0
514,-8.5,-11.2,61,4,1,2,0
716,-11.1,-8.2,35,2,2,1,0
236,-12.1,-10.4,52,5,3,3,0
564,-6.1,-6.1,32,9,1,1,0
390,-15.1,-15.1,34,6,1,1,0
694,-10.1,-10.1,22,4,2,1,0
1484,-9.3,-8.8,116,6,4,1,0
503,-18.9,-7.2,50,3,1,1,0
451,-8.7,-10.2,197,6,1,3,1
434,-12.9,-10.4,33,5,3,1,0
428,-18.8,-17.5,46,5,3,1,0
347,-9.1,-4.8,33,3,2,4,0
1380,-16.5,-10.6,492,6,1,1,2
514,-13.8,-12.7,28,6,1,1,0
290,-12.2,-12.2,24,5,4,1,0
249,-4.2,-4.2,31,7,4,1,0
1273,-12.2,-10.2,108,6,1,3,0
1519,-8.1,-10.1,270,6,4,3,0
350,-14.6,-11.9,55,6,2,1,0
616,-7.2,-10.3,83,8,1,1,0
574,-13.1,-10.9,54,6,4,1,0
411,-14.6,-8.3,49,7,1,3,0
855,-14.8,-8.9,65,4,3,1,0
555,-10.9,-7.2,43,6,2,1,0
524,-10.1,-12.8,109,6,1,3,0
220,-6.2,-4.6,143,5,2,1,0
205,0,-1.1,13,4,2,1,0
252,-4.9,-12.1,340,9,1,1,1
943,-8.6,-10,75,3,1,2,0
825,-12.2,-5.3,86,3,2,3,0
195,-12.3,-15.3,14,5,3,1,0
826,-17,-12.5,64,3,3,1,0
207,-6,-6,31,3,4,3,0
247,-11.2,-5.2,102,8,3,1,0
445,-20.3,-12,276,5,2,2,3
243,-11,-8,35,3,1,3,0
336,-12.9,-7.9,54,3,3,3,0
477,-10.1,-6.1,37,4,4,3,0
606,-12.3,-3.7,70,4,1,4,0
288,-9.5,-5.1,87,5,1,1,0
528,-12.8,-16.7,682,5,3,1,2
253,-6.1,-6.1,21,8,1,3,0
134,-3.7,-0.7,45,4,2,1,0
623,-11.5,-7.3,89,3,3,2,0
377,-8.5,-6.3,48,5,1,1,0
528,-7.4,-3.7,38,5,1,3,0
474,-13,-5.4,255,3,2,1,2
872,-11.7,-9.2,38,6,2,1,0
780,-3.8,-7.9,149,3,3,2,0
389,-17,-10.2,72,8,4,1,0
433,-8.9,-18.3,125,3,4,3,0
361,-5.4,-5.8,20,7,1,3,0
132,-12.4,-13.3,42,3,2,1,0
1094,-12.7,-12.7,28,3,4,1,0
493,-10.9,-10.9,21,5,4,4,0
346,-1.2,-1.2,29,7,2,1,0
1933,-14.5,-7.3,116,6,1,1,0
1308,-7,-7.3,185,5,3,1,2
547,-9,-7.6,31,5,3,1,0
292,-7.6,-9,20,7,4,1,0
437,-8.8,-11.1,25,6,2,3,0
441,-10.7,-8,97,6,1,1,0
202,-7.3,-7.9,44,2,3,3,0
409,-10.7,-6.6,61,5,3,1,0
965,-8.6,-8.6,26,7,1,1,0
142,-7.9,-3.5,59,6,4,3,0
765,-17.1,-8.2,66,7,1,1,0
423,-16.1,-10.9,76,5,3,1,0
218,-13,-13.6,23,4,2,3,0
297,-8,-8,22,3,3,1,0
210,-3,-3,17,4,2,1,0
201,-8.5,-8.5,27,6,3,1,0
239,-13.3,-3.6,100,6,3,1,0
138,-5.5,-5.1,31,7,3,1,0
384,-4.6,-3,35,5,4,1,0
116,-4.1,-6.7,216,7,1,1,1
241,-7.3,-7.3,20,6,1,1,0
1083,-14.4,-0.9,77,4,4,1,0
449,-15.5,-12.1,51,4,2,4,0
