gene_name,romano_initiation_rate,gene_length,folding_energy_70,folding_energy_80,length of 5prime utr,kozak score,N1,N4,in_frame AUG
YEL011W,0.0275,705,-3.8,-4.8,32,7,1,1,0
YCR079W,0.02759,443,-12.8,-22.5,66,3,1,2,0
YBR021W,0.02775,634,-4,-9.9,113,5,3,1,0
YDR034C,0.02825,791,-11,-13.4,145,5,3,1,0
YKL105C,0.0284,1133,-8,-11.5,200,5,1,3,0
YLR071C,0.02841,1083,-14.6,-14.6,32,4,2,3,0
YDR351W,0.02854,865,-5,-8,410,3,2,2,2
YOR219C,0.02936,932,-12,-14.1,57,7,4,4,0
YAL040C,0.0297,979,-13.4,-14.4,40,6,3,1,0
YDR520C,0.02991,773,-0.5,-15.1,88,8,1,1,0
YLR187W,0.03009,1027,-8.9,-11.9,223,5,2,3,0
YJR132W,0.03066,1049,-9.2,-13.7,63,4,2,2,0
YOL055C,0.03073,552,-3,-3.4,48,3,2,1,0
YPR085C,0.03079,444,-11.1,-10.5,89,4,3,4,1
YGL023C,0.03082,808,-8.3,-8.8,89,3,3,1,1
YFL024C,0.03094,833,-16.2,-7.7,432,5,1,1,0
YDR213W,0.03113,914,-12.8,-8,215,6,1,1,0
YML020W,0.03117,916,-10,-13.1,74,5,3,2,0
YJL073W,0.03126,646,-13.4,-12.8,85,3,4,1,0
YGR047C,0.03132,1026,-13.7,-10,114,2,2,3,0
YLR166C,0.03142,872,-9.2,-11.7,38,6,2,1,0
YJL090C,0.03168,765,-9,-9.3,164,3,1,1,3
YGL229C,0.03183,819,-5.5,-15.3,230,8,1,1,0
YOL036W,0.03185,762,-2.4,-7.3,388,1,2,3,0
YML065W,0.03228,915,-9.9,-10,95,5,3,1,0
YKL020C,0.0328,1083,-0.9,-14.4,77,4,4,1,0
YJR030C,0.03289,746,-9.2,-8.3,60,5,3,3,0
YLR001C,0.03346,863,-14.4,-9.7,93,1,4,2,0
YAL017W,0.03363,1357,-9.6,-7.2,368,5,3,3,0
YNL187W,0.03373,358,-13.2,-10.6,217,6,2,1,5
YGL142C,0.03377,617,-13.1,-11.9,47,4,4,2,0
YKL048C,0.03391,641,-7.3,-10.1,86,6,4,3,1
YIR023W,0.03393,971,-12.1,-12.1,20,4,2,4,0
YHR164C,0.03407,1523,-10.2,-13.9,93,6,3,1,0
YER065C,0.0342,558,-1.6,-6.7,322,7,4,1,0
YDR006C,0.0346,1121,-4,-8.3,176,4,4,1,0
YGR270W,0.03506,1380,-10.6,-16.5,492,6,1,1,2
YLL051C,0.03542,713,-7.8,-14.1,72,4,2,1,1
YML103C,0.03543,1656,-11.2,-11.2,39,4,2,3,0
YDR200C,0.03566,605,-7.8,-8,66,1,4,3,0
YGR056W,0.03567,929,-7.1,-7.1,50,3,2,1,0
YML107C,0.03575,335,-11.3,-7.7,14,3,2,4,0
YLR096W,0.03581,1148,-5.2,-10.9,526,6,2,1,1
YMR026C,0.03597,400,-10.4,-12.4,114,3,4,3,0
YGR098C,0.03612,1631,-10.3,-14.3,245,4,2,3,0
YDR065W,0.03618,366,-10.9,-6.6,102,7,3,1,0
YGR217W,0.03623,2040,-6.1,-9.4,53,3,1,1,0
YKL068W,0.03637,960,-6.7,-20.2,121,6,4,1,0
YOR054C,0.03651,675,-12.9,-7.4,142,7,3,3,0
YNR011C,0.03654,877,-5.6,-10.7,100,6,4,4,0
YKR010C,0.03671,772,-3.7,-16.9,115,5,1,2,0
YHR182W,0.0373,786,-8.3,-18.5,197,5,4,3,0
YDR197W,0.03743,390,-15.1,-15.1,34,6,1,1,0
YDR541C,0.03771,345,-13.8,-7.3,238,8,4,1,1
YFR048W,0.03776,663,-9.5,-15,53,6,3,1,0
YLR460C,0.03799,377,-6.3,-8.5,48,5,1,1,0
YBR216C,0.03811,675,-4.5,-4.5,35,4,1,4,0
YMR078C,0.03822,474,-2.1,-13.4,85,4,2,1,0
YML034W,0.03833,835,-9,-14.3,75,4,3,3,0
YOL062C,0.03844,492,-6.2,-11.3,187,4,2,3,1
YCR089W,0.03846,1610,-12.9,-12.2,297,3,1,3,2
YPL180W,0.0385,800,-14.1,-15.5,48,5,1,1,0
YNL186W,0.03926,793,-10.8,-8.3,236,4,4,1,0
YMR160W,0.03928,817,-12.6,-17.7,49,5,1,1,0
YMR198W,0.03953,880,-5.5,-11,272,4,3,2,0
YOR060C,0.03961,258,-10.8,-10,43,3,4,2,0
YPL158C,0.04003,759,-3.8,-6.8,72,6,2,3,0
YMR163C,0.04034,706,-9.6,-15.4,146,5,2,1,0
YOR195W,0.04051,822,-8.9,-8.3,72,3,2,2,0
YMR100W,0.04075,621,-11.5,-7.8,356,6,1,3,0
YLR427W,0.0408,671,-15.9,-16,95,1,4,2,0
YPL149W,0.0409,295,-9.9,-11.1,108,4,3,1,1
YMR031C,0.04097,1273,-10.2,-12.2,108,6,1,3,0
YMR031C,0.04097,1684,-5.7,-13.3,96,5,1,3,0
YLR424W,0.04113,709,-13,-13.3,31,5,4,1,0
YLR057W,0.04122,850,-9.6,-11.4,56,8,1,4,0
YDR490C,0.04153,767,-14.1,-14.8,84,4,1,1,0
YLL032C,0.04155,826,-7.6,-11.9,168,3,2,3,0
YOR070C,0.04161,638,-12.1,-12,175,5,4,1,0
YKL005C,0.04181,595,-9.9,-7.8,118,5,2,1,0
YBR129C,0.04197,329,-13.1,-18.3,36,4,1,4,0
YMR016C,0.04207,786,-10.1,-8.8,47,2,2,3,0
YOR018W,0.04208,838,-3.9,-3,48,6,3,1,0
YLR373C,0.04222,902,-11.6,-8.1,18,3,3,4,0
YDR170C,0.04237,2010,-10.7,-9.7,273,5,2,4,0
YKL101W,0.0427,1519,-10.1,-8.1,270,6,4,3,0
YGR130C,0.04276,817,-9.3,-9,104,5,4,1,0
YKL072W,0.04283,767,-1.5,-5.8,206,6,3,1,0
YAR014C,0.04287,710,-12.4,-16.8,151,6,1,1,0
YPL105C,0.04301,850,-10.5,-10.2,25,4,2,3,0
YNL192W,0.0432,1132,-8.8,-11.6,117,5,2,1,0
YPL076W,0.04332,281,-7.4,-12.4,147,4,3,1,0
YDL013W,0.04343,620,-16.5,-8.8,136,6,1,1,0
YPL231W,0.0436,1888,-10,-11.9,31,6,1,1,0
YJR138W,0.04366,1585,-8,-8,29,4,2,1,0
YBR208C,0.04419,1836,-15,-8.8,144,7,2,1,0
YDL020C,0.04429,532,-8.9,-9.4,245,5,3,1,0
YMR288W,0.04434,972,-11.2,-10.1,15,5,3,1,0
YCL014W,0.04452,1637,-9.7,-8.4,104,3,2,4,0
YMR080C,0.04454,972,-3.5,-4.8,80,4,2,4,0
YBL102W,0.04456,216,-15.2,-13.9,72,4,3,1,0
YBR001C,0.04472,781,-11.9,-17.6,58,5,4,1,0
YFL034W,0.04473,1074,-5.4,-9,190,7,2,1,0
YEL020C,0.04483,561,-7.7,-0.9,69,7,1,1,0
YBR246W,0.04487,388,-13.2,-13.7,37,4,1,4,0
YMR127C,0.0449,339,-13.3,-11.2,103,8,1,1,1
YIL144W,0.04504,692,-10,-7.4,91,4,4,2,0
YNL272C,0.04518,760,-8.5,-14.4,98,5,2,1,0
YHR080C,0.04551,1346,-24.7,-10.2,206,6,1,3,0
YHR178W,0.04553,744,-16,-13.5,47,5,1,3,0
YDL170W,0.04607,529,-7.2,-7.2,30,3,2,3,0
YJR130C,0.04609,640,-7.1,-6.5,64,6,3,1,0
YFR013W,0.04612,519,-9.9,-14.3,119,4,4,1,0
YLR267W,0.04644,571,-7.2,-11.7,71,6,1,1,0
YLR361C,0.04657,579,-14,-8.9,22,3,4,1,0
YGL090W,0.04676,422,-13.6,-14.3,34,3,3,3,1
YDR301W,0.04678,292,-11.3,-16.3,40,1,2,3,0
YML059C,0.04688,1680,-4.8,-5.9,55,2,2,2,0
YDR438W,0.04699,371,.0.00,-9.1,65,5,1,1,1
YDR325W,0.04709,1036,-11.8,-8.8,261,5,4,1,0
YPR029C,0.04716,833,-9.6,-15.7,43,7,1,1,0
YHR186C,0.04751,1558,-10.5,-9.3,88,8,2,1,0
YJL127C,0.04761,641,-9.9,-7.5,93,2,3,2,0
YLL015W,0.04766,1560,-4.1,-12.9,136,8,1,1,0
YAL009W,0.04768,260,-17.6,-17.6,26,2,3,3,0
YIR010W,0.04778,577,-11.9,-15,69,4,2,1,0
YLR108C,0.04784,486,-13.3,-15.9,256,6,2,4,1
YCL073C,0.04815,385,-7.5,-6.7,114,3,2,4,2
YLR003C,0.04825,292,-9,-7.6,20,7,4,1,0
YNL065W,0.04826,587,-6.4,-10.3,82,5,2,3,0
YLR455W,0.0483,708,-7.8,-12.6,72,2,2,3,0
YOR205C,0.04835,317,-9.6,-15.7,147,5,2,1,0
YOR205C,0.04835,557,-15,-15,30,3,3,3,0
YLR072W,0.04853,694,-10.1,-10.1,22,4,2,1,0
YBL061C,0.04872,697,-7.1,-7.5,101,7,2,1,0
YLR219W,0.04875,729,-7.1,-10.2,196,4,2,1,0
YPL104W,0.04886,394,-13.9,-10.1,23,9,1,3,0
YPL104W,0.04886,659,-9.3,-11.3,47,4,2,1,1
YLR114C,0.04899,765,-8.2,-17.1,66,7,1,1,0
YDL074C,0.049,701,-11.6,-11.7,73,4,2,3,0
YML064C,0.04905,246,-5.6,-12.1,62,5,3,1,0
YPL122C,0.04939,514,-12.7,-13.8,28,6,1,1,0
YOR181W,0.04944,634,-14.5,-13,72,3,2,1,0
YLR277C,0.04958,780,-7.9,-3.8,149,3,3,2,0
YMR191W,0.04987,374,-20.9,-11.9,15,6,4,1,0
YML128C,0.04989,514,-7.9,-10.7,35,5,1,1,0
YDR014W,0.04998,648,-5.9,-12.2,52,6,3,1,0
YGR223C,0.05009,449,-12.1,-15.5,51,4,2,4,0
YLR342W,0.05028,1877,-3.6,-10.1,258,3,4,1,0
